ox_code	kt_2la	kt_2rb
AN0074-C	1	1
AN0075-C	0	1
AN0076-C	2	1
AN0077-C	0	0
AN0079-C	0	1
AN0080-C	0	0
AN0081-C	1	2
AN0082-C	2	1
AN0083-C	1	0
AN0084-C	0	0
AN0085-C	0	1
AN0086-C	1	1
AN0087-C	0	0
AN0088-C	1	2
AN0089-C	2	2
AN0090-C	2	2
AN0091-C	2	1
AN0092-C	2	0
AN0093-C	2	1
AN0094-C	1	2
AN0095-C	2	1
AN0096-C	1	1
AN0097-C	1	1
AN0098-C	1	2
AN0099-C	0	2
AN0100-C	1	2
AN0101-C	1	0
AN0102-C	1	2
AN0103-C	1	2
AN0104-C	1	1
AN0105-C	2	2
AN0106-C	0	0
AN0107-C	0	1
AN0108-C	2	2
AN0109-C	1	1
AN0111-C	1	1
AN0112-C	2	2
AN0113-C	0	1
AN0114-C	2	1
AN0115-C	0	0
AN0117-C	1	1
AN0120-C	1	2
AN0121-C	2	1
AN0122-C	0	0
AN0123-C	0	0
AN0124-C	0	0
AN0125-C	0	0
AN0126-C	0	1
AN0127-C	0	1
AN0128-C	1	0
AN0129-C	0	1
AN0130-C	0	0
AN0131-C	0	1
AN0132-C	0	0
AN0134-C	0	1
AN0135-C	2	0
AN0136-C	0	0
AN0137-C	0	0
AN0138-C	0	1
AN0139-C	0	1
AN0140-C	0	0
AN0141-C	0	0
AN0143-C	1	1
AN0147-C	0	0
AN0149-C	1	2
AN0151-C	0	1
AN0152-C	0	1
AN0153-C	0	1
AN0154-C	0	1
AN0155-C	0	0
AN0156-C	1	1
AN0157-C	0	1
AN0158-C	0	1
AN0159-C	0	0
AN0160-C	0	0
AN0162-C	0	0
AN0163-C	0	0
AN0164-C	0	0
AN0165-C	1	0
AN0166-C	0	0
AN0167-C	0	1
AN0168-C	0	0
AN0169-C	0	2
AN0170-C	0	0
AN0171-C	0	1
AN0172-C	0	0
AN0173-C	0	0
AN0174-C	0	1
AN0175-C	0	0
AN0176-C	1	0
AN0177-C	0	2
AN0178-C	0	1
AN0179-C	0	1
AN0180-C	0	1
AN0181-C	0	0
AN0182-C	1	0
AN0183-C	0	0
AN0184-C	0	0
AN0185-C	0	1
AN0186-C	0	0
AN0187-C	0	2
AN0188-C	0	1
AN0189-C	0	0
AN0190-C	0	0
AN0191-C	0	2
AN0192-C	0	0
AN0193-C	0	0
AN0194-C	0	1
AN0196-C	1	0
AN0197-C	0	1
AN0198-C	1	1
AN0199-C	0	0
AN0200-C	0	0
AN0201-C	0	1
AN0202-C	0	0
AN0203-C	0	0
AN0204-C	0	0
AN0205-C	0	1
AN0206-C	0	0
AN0207-C	0	1
AN0208-C	0	1
AN0209-C	1	1
AN0210-C	0	1
AN0212-C	0	0
AN0213-C	0	0
AN0214-C	1	1
AN0215-C	0	1
AN0217-C	0	0
AN0218-C	0	0
AN0219-C	0	0
AN0220-C	0	0
AN0221-C	0	1
AN0222-C	0	0
AN0223-C	0	0
AN0224-C	1	1
AN0225-C	0	1
AN0226-C	0	0
AN0227-C	1	1
AN0228-C	0	0
AN0229-C	0	2
AN0230-C	2	2
AN0231-C	0	0
AN0233-C	0	0
AN0234-C	1	0
AN0235-C	0	0
AN0236-C	2	2
AN0237-C	1	1
AN0238-C	2	1
AN0239-C	1	0
AN0240-C	0	0
AN0241-C	2	1
AN0242-C	0	0
AN0243-C	2	2
AN0244-C	0	0
AN0245-C	0	0
AN0246-C	0	1
AN0247-C	0	1
AN0248-C	2	0
AN0250-C	2	2
AN0251-C	0	1
AN0252-C	0	0
AN0253-C	1	2
AN0254-C	0	1
AN0255-C	0	0
AN0256-C	0	1
AN0258-C	2	2
AN0259-C	0	0
AN0260-C	1	1
AN0261-C	0	0
AN0262-C	1	0
AN0263-C	0	1
AN0264-C	0	0
AN0266-C	2	2
AN0267-C	1	1
AN0268-C	0	1
AN0269-C	2	2
AN0270-C	0	0
AN0272-C	2	1
AN0275-C	1	1
AN0276-C	2	2
AN0277-C	0	1
AN0280-C	1	2
AN0282-C	0	1
AN0283-C	0	1
AN0284-C	0	0
AN0285-C	0	0
AN0286-C	1	1
AN0287-C	1	1
AN0288-C	0	0
AN0290-C	1	2
AN0291-C	0	0
AN0292-C	0	0
AN0294-C	0	0
AN0295-C	2	2
AN0296-C	0	0
AN0297-C	0	1
AN0298-C	0	1
AN0299-C	0	0
AN0300-C	0	0
AN0301-C	2	2
AN0303-C	1	0
AN0304-C	0	1
AN0305-C	0	1
AN0307-C	0	1
AN0308-C	0	0
AN0309-C	0	1
AN0310-C	1	0
AN0312-C	0	0
AN0313-C	1	0
AN0314-C	0	0
AN0315-C	0	0
AN0317-C	0	0
AN0318-C	0	0
AN0319-C	0	0
AN0321-C	1	0
AR0007-C	0	0
AR0008-C	0	0
AR0009-C	0	0
AR0010-C	0	0
AR0011-C	0	0
AR0012-C	0	0
AR0014-C	1	0
AR0015-C	0	0
AR0017-C	0	0
AR0019-C	0	0
AR0020-C	0	0
AR0021-C	0	0
AR0022-C	0	0
AR0023-C	0	0
AR0024-C	0	0
AR0026-C	1	0
AR0027-C	0	0
AR0034-C	0	0
AR0035-C	0	0
AR0042-C	0	0
AR0043-C	0	0
